Carlos Bacca,Villarreal CF,LaLiga,1986-09-08,181.0,77.0,Colombia,21500000.0
Franco Vázquez,Sevilla FC,LaLiga,1989-02-22,186.0,82.0,Italy,22500000.0
Mateo Kovačić,Real Madrid CF,LaLiga,1994-05-06,178.0,77.0,Croatia,30000000.0
Sergio Rico González,Sevilla FC,LaLiga,1993-09-01,194.0,88.0,Spain,21500000.0
Manuel Trigueros Muñoz,Villarreal CF,LaLiga,1991-10-17,178.0,71.0,Spain,27500000.0
Antonio Rüdiger,Chelsea,English Premier League,1993-03-03,190.0,85.0,Germany,24500000.0
Stefan Savić,Atlético Madrid,LaLiga,1991-01-08,187.0,79.0,Montenegro,24000000.0
Iñigo Martínez Berridi,Real Sociedad,LaLiga,1991-05-17,182.0,79.0,Spain,24000000.0
Roque Mesa Quevedo,Swansea City,English Premier League,1989-06-07,171.0,74.0,Spain,18000000.0
Alessandro Florenzi,Roma,Italian Serie A,1991-03-11,173.0,67.0,Italy,22000000.0
Davy Klaassen,Everton,English Premier League,1993-02-21,179.0,70.0,Netherlands,27500000.0
Karim Bellarabi,Bayer 04 Leverkusen,German Bundesliga,1990-04-08,183.0,80.0,Germany,23000000.0
Raheem Sterling,Manchester City,English Premier League,1994-12-08,170.0,69.0,England,29500000.0
Jesús Joaquín Fernández Sáez,Milan,Italian Serie A,1993-11-19,176.0,70.0,Spain,29500000.0
Gerard Deulofeu Lázaro,FC Barcelona,LaLiga,1994-03-13,177.0,73.0,Spain,31000000.0
Eric Dier,Tottenham Hotspur,English Premier League,1994-01-15,188.0,90.0,England,25000000.0
Marcos Rojo,Manchester United,English Premier League,1990-03-20,187.0,80.0,Argentina,21000000.0
Heung Min Son,Tottenham Hotspur,English Premier League,1992-07-08,183.0,77.0,Korea Republic,28000000.0
Francesco Acerbi,Sassuolo,Italian Serie A,1988-02-10,192.0,88.0,Italy,17000000.0
Granit Xhaka,Arsenal,English Premier League,1992-09-27,185.0,82.0,Switzerland,27500000.0
Jonathan Viera Ramos,UD Las Palmas,LaLiga,1989-10-01,170.0,64.0,Spain,23000000.0
