'Salvador José Milhazes Agra','Aves','Primeira Liga','1991-11-11',166.0,61.0,'Portugal',8500000.0, '2018-01-01', '2020-01-01'
'Pedro Filipe Barbosa Moreira','Nacional','Primeira Liga','1992-12-20',170.0,68.0,'Portugal',9000000.0, '2018-01-01', '2020-01-01'
'Ricardo Jorge Novo Nunes','Desportivo das Chaves','Primeira Liga','1982-07-06',188.0,84.0,'Portugal',2700000.0, '2018-01-01', '2020-01-01'
'Mattheus A. Gama de Oliveira','Sporting CP','Primeira Liga','1994-07-07',182.0,76.0,'Brazil',9500000.0, '2018-01-01', '2020-01-01'
'Matheus Lima Magalhães','Braga','Primeira Liga','1992-07-19',187.0,76.0,'Brazil',6500000.0, '2018-01-01', '2020-01-01'
'Djavan da Silva Ferreira','Desportivo das Chaves','Primeira Liga','1987-12-31',184.0,76.0,'Brazil',5000000.0, '2018-01-01', '2020-01-01'
'Welthon Fiel Sampaio','Nacional','Primeira Liga','1992-06-21',180.0,74.0,'Brazil',9000000.0, '2018-01-01', '2020-01-01'
'Radosav Petrović','Sporting CP','Primeira Liga','1989-03-08',193.0,78.0,'Serbia',4600000.0, '2018-01-01', '2020-01-01'
'Danilo Barbosa da Silva','Braga','Primeira Liga','1996-02-28',182.0,86.0,'Brazil',8000000.0, '2018-01-01', '2020-01-01'
'João Miguel Coimbra Aurélio','Vitoria de Guimaraes','Primeira Liga','1988-08-17',182.0,72.0,'Portugal',4400000.0, '2018-01-01', '2020-01-01'
'Guillermo Celis','Vitoria de Guimaraes','Primeira Liga','1993-05-08',178.0,73.0,'Colombia',6500000.0, '2018-01-01', '2020-01-01'
'Marcelo Augusto Ferreira Teixeira','Braga','Primeira Liga','1987-10-13',176.0,69.0,'Brazil',4300000.0, '2018-01-01', '2020-01-01'
'André Geraldes de Barros','Belenenses','Primeira Liga','1991-05-02',181.0,74.0,'Portugal',5500000.0, '2018-01-01', '2020-01-01'
'Matheus Fellipe Costa Pereira','Desportivo das Chaves','Primeira Liga','1996-05-05',175.0,66.0,'Brazil',9500000.0, '2018-01-01', '2020-01-01'
'Renato João Saleiro Santos','Boavista','Primeira Liga','1991-10-05',177.0,75.0,'Portugal',6500000.0, '2018-01-01', '2020-01-01'
'Fabiano Ribeiro de Freitas','Porto','Primeira Liga','1988-02-29',197.0,91.0,'Brazil',3800000.0, '2018-01-01', '2020-01-01'
'Bruno Alexandre Vieira Almeida','Braga','Primeira Liga','1997-12-02',179.0,72.0,'Portugal',9500000.0, '2018-01-01', '2020-01-01'
'Rúben Tiago Rodrigues Ribeiro','Rio Ave','Primeira Liga','1987-08-01',175.0,67.0,'Portugal',5500000.0, '2018-01-01', '2020-01-01'
'Vasco Herculano Cunha Fernandes','Vitoria de Setubal','Primeira Liga','1986-11-12',182.0,76.0,'Portugal',4200000.0, '2018-01-01', '2020-01-01'
'Filipe Augusto Carvalho Souza','Benfica','Primeira Liga','1993-08-12',183.0,80.0,'Brazil',8000000.0, '2018-01-01', '2020-01-01'
'Paulo Henrique Soares dos Santos','Portimonense','Primeira Liga','1994-07-10',166.0,58.0,'Brazil',8500000.0, '2018-01-01', '2020-01-01'
'Jeferson Fernandes Macedo','Desportivo das Chaves','Primeira Liga','1991-07-17',180.0,70.0,'Brazil',6500000.0, '2018-01-01', '2020-01-01'
'Miguel Jesus Rosa','Belenenses','Primeira Liga','1989-01-13',176.0,70.0,'Portugal',5500000.0, '2018-01-01', '2020-01-01'
'Jaílton Alves Miranda','Boavista','Primeira Liga','1989-08-02',181.0,63.0,'Cape Verde',6000000.0, '2018-01-01', '2020-01-01'
'Kléber Laube Pinheiro','Santa Clara','Primeira Liga','1990-05-02',187.0,81.0,'Brazil',6500000.0, '2018-01-01', '2020-01-01'
'Stefan Ristovski','Sporting CP','Primeira Liga','1992-02-12',180.0,72.0,'FYR Macedonia',6000000.0, '2018-01-01', '2020-01-01'
'Sérgio Miguel Relvas de Oliveira','Porto','Primeira Liga','1992-06-02',181.0,72.0,'Portugal',7500000.0, '2018-01-01', '2020-01-01'
'Ousmane Dramé','Moreirense','Primeira Liga','1992-08-25',174.0,70.0,'France',7000000.0, '2018-01-01', '2020-01-01'
'Zainadine Chavango Júnior','Maritimo','Primeira Liga','1988-06-24',178.0,75.0,'Mozambique',4400000.0, '2018-01-01', '2020-01-01'
'Fábio Ricardo Gomes Fonseca','Boavista','Primeira Liga','1985-08-18',171.0,64.0,'Portugal',4800000.0, '2018-01-01', '2020-01-01'
'Nélson Ricardo Rodrigues Lenho','Aves','Primeira Liga','1984-03-22',179.0,75.0,'Portugal',2200000.0, '2018-01-01', '2020-01-01'
'Eduardo Gottardi','Maritimo','Primeira Liga','1985-10-18',193.0,82.0,'Brazil',3400000.0, '2018-01-01', '2020-01-01'
'Romain Salin','Sporting CP','Primeira Liga','1984-07-29',189.0,76.0,'France',3200000.0, '2018-01-01', '2020-01-01'
'Ricardo Sousa Esgaio','Braga','Primeira Liga','1993-05-16',173.0,68.0,'Portugal',6000000.0, '2018-01-01', '2020-01-01'
'Ricardo Jorge Pinto da Silva','Nacional','Primeira Liga','1980-08-19',186.0,78.0,'Cape Verde',750000.0, '2018-01-01', '2020-01-01'
'António José Pinheiro Carvalho','Moreirense','Primeira Liga','1993-01-14',166.0,61.0,'Portugal',7500000.0, '2018-01-01', '2020-01-01'
'Carlos Santos Rodrigues','Aves','Primeira Liga','1995-01-13',183.0,84.0,'Cape Verde',4800000.0, '2018-01-01', '2020-01-01'
'Bruno Manuel Araújo Braga','Aves','Primeira Liga','1983-06-17',181.0,77.0,'Portugal',1900000.0, '2018-01-01', '2020-01-01'
'Giorgi Makaridze','Moreirense','Primeira Liga','1990-03-31',190.0,85.0,'Georgia',2700000.0, '2018-01-01', '2020-01-01'
'Douglas Franco Teixeira','Sporting CP','Primeira Liga','1988-01-12',192.0,80.0,'Netherlands',3100000.0, '2018-01-01', '2020-01-01'
'Ryan Gauld','Aves','Primeira Liga','1995-12-16',169.0,61.0,'Scotland',7000000.0, '2018-01-01', '2020-01-01'
