Gabriel Barbosa Almeida,SL Benfica,Portuguese Primeira Liga,1996-08-30,178.0,68.0,Brazil,12000000.0
Dyego Wilverson Ferreira Sousa,SC Braga,Portuguese Primeira Liga,1989-09-14,190.0,83.0,Brazil,8000000.0
Fábio Santos Martins,SC Braga,Portuguese Primeira Liga,1993-07-24,178.0,70.0,Portugal,10500000.0
Douglas Renato de Jesus,Vitória Guimarães,Portuguese Primeira Liga,1983-03-09,188.0,87.0,Brazil,3100000.0
Paolo Hurtado,Vitória Guimarães,Portuguese Primeira Liga,1990-07-27,176.0,72.0,Peru,9000000.0
Daniel Castelo Podence,Sporting CP,Portuguese Primeira Liga,1995-10-21,165.0,58.0,Portugal,11500000.0
Erdem Şen,CS Marítimo,Portuguese Primeira Liga,1989-01-05,180.0,75.0,Belgium,6000000.0
Ricardo José Monteiro,Rio Ave FC,Portuguese Primeira Liga,1983-10-07,188.0,78.0,Portugal,4500000.0
Cristiano Piccini,Sporting CP,Portuguese Primeira Liga,1992-09-26,189.0,79.0,Italy,8500000.0
José Pedro Malheiro de Sá,FC Porto,Portuguese Primeira Liga,1993-01-17,192.0,85.0,Portugal,7500000.0
André Gomes Magalhães Almeida,SL Benfica,Portuguese Primeira Liga,1990-09-10,186.0,80.0,Portugal,7500000.0
Víctor García,Vitória Guimarães,Portuguese Primeira Liga,1994-06-11,178.0,71.0,Venezuela,9000000.0
Fransérgio Rodrigues Barbosa,SC Braga,Portuguese Primeira Liga,1990-10-18,187.0,82.0,Brazil,8000000.0
Jonathan Silva,Sporting CP,Portuguese Primeira Liga,1994-06-29,180.0,75.0,Argentina,7500000.0
Héldon Augusto Almeida Ramos,Vitória Guimarães,Portuguese Primeira Liga,1988-11-14,174.0,66.0,Cape Verde,6500000.0
Francisco Geraldes,Rio Ave FC,Portuguese Primeira Liga,1995-04-18,175.0,67.0,Portugal,10500000.0
André Filipe Luz Horta,SC Braga,Portuguese Primeira Liga,1996-11-07,175.0,70.0,Portugal,10000000.0
Alhassan Wakaso,Vitória Guimarães,Portuguese Primeira Liga,1992-01-07,180.0,76.0,Ghana,7500000.0
Paulo Sérgio Mota,Grupo Desportivo de Chaves,Portuguese Primeira Liga,1991-07-13,175.0,70.0,Portugal,6500000.0
Ahmed Hassan,SC Braga,Portuguese Primeira Liga,1993-03-05,191.0,85.0,Egypt,9000000.0
Nikola Vukčević,SC Braga,Portuguese Primeira Liga,1991-12-13,184.0,76.0,Montenegro,7000000.0
Bruno Daniel Castro Moreira,FC Paços de Ferreira,Portuguese Primeira Liga,1987-09-06,185.0,79.0,Portugal,6500000.0
